Ticker,Name,Exchange
A,Agilent Technologies Inc,NYSE
AA,Alcoa Inc,NYSE
AAACU,Asia Automotive Acquisition Corp,
AABB,Asia Broadband Inc,OTC
AABC,Access Anytime Bancorp Inc,
AAC,Sinocoking Coal & Coke Chemical Industries Inc,NASDAQ
AACC,Asset Acceptance Capital Corp,
AACE,Ace Cash Express Inc,
AAGC,All American Gold Corp,OTC
AAI,Airtran Holdings Inc,
AAIIQ,Aaipharma Inc,OTC
AAIR,Avantair Inc,OTC
AAL,American Airlines Group Inc,NASDAQ
AAMC,American Asset Management Corp,OTC
AAMC,Altisource Asset Management Corp,OTC
AAME,Atlantic American Corp,NASDAQ
AAML,Adera Mines LTD,
AAMU,American Ammunition Inc,
AAN,Aarons Inc,NYSE
AANB,Abigail Adams National Bancorp Inc,
AANI,Amedia Networks Inc,
AAOI,Applied Optoelectronics Inc,NASDAQ
AAON,Aaon Inc,NASDAQ
AAOR,Healthcare Providers Direct Inc,
AAP,Advance Auto Parts Inc,NYSE
AAPH,American Petro-hunter Inc,OTC
AAPL,Apple Inc,NASDAQ
AAPT,All American Pet Company Inc,OTC
AARI,Patriot Minefinders Inc,
AARS,Asia Atlantic Resources,
AASP,All American Sportpark Inc,OTC
AASR,Ushealth Group Inc,
AAT,American Assets Trust Inc,NYSE
AATI,Advanced Analogic Technologies Inc,
AAUI,Andina Group Inc,OTC
AAVG,Avstar Aviation Group Inc,OTC
AAXT,Aamaxan Transport Group Inc,OTC
AB,Cannon Express Inc,NYSE
AB,Alliancebernstein Holding LP,NYSE
ABAT,Advanced Battery Technologies Inc,OTC
ABAX,Abaxis Inc,NASDAQ
ABBB,Auburn Bancorp Inc,OTCBB
ABBC,Abington Community Bancorp Inc,
ABBC,Abington Bancorp Inc,
ABBK,Abington Bancorp Inc,
ABBV,Abbvie Inc,NYSE
ABC,Amerisourcebergen Corp,NYSE
ABCB,Ameris Bancorp,NASDAQ
ABCC,Wherevertv Broadcasting Corp,
ABCD,Cambium Learning Group Inc,NASDAQ
ABCO,Advisory Board Co,NASDAQ
ABCP,Ambase Corp,OTC
ABCR,Varca Ventures Inc,OTC
ABCR,Abc Records Management & Data Storage Inc,OTC
ABCW,Anchor Bancorp Wisconsin Inc,OTC
ABDV,Atlantis Technology Group,
ABER,Dominion Diamond Corp,NYSE
ABEW,Airbee Wireless Inc,
ABF,Airborne Inc,
ABFI,American Business Financial Services Inc,
ABFS,Arkansas Best Corp,NASDAQ
ABG,Asbury Automotive Group Inc,NYSE
ABGTF,Assistglobal Technologies Corp,
ABGX,Abgenix Inc,
ABH,Resolute Forest Products Inc,NYSE
ABHD,Abtech Holdings Inc,OTC
ABHH,American Bank Note Holographics Inc,
ABI,Applied Biosystems Inc,NYSE ARCA
ABII,Abraxis Bioscience Inc,NASDAQ
ABIX,Abatix Corp,
ABK,Ambac Financial Group Inc,NASDAQ
ABKB,American Basketball Association Inc,OTC
ABKI,Abakan Inc,OTC
ABL,American Biltrite Inc,
ABLE,Able Energy Inc,OTC
ABM,Abm Industries Inc,NYSE
ABMC,American Bio Medica Corp,OTC
ABMD,Abiomed Inc,NASDAQ
ABMT,Advanced Biomedical Technologies Inc,OTC
ABNC,American Bancorp Inc,OTC
ABNJ,American Bancorp Of New Jersey Inc,
ABNS,Alliance Bancshares California,
ABOS,Arbios Systems Inc,
ABOZ,American Bonanza Resources Corp,
ABPH,Advanced Biophotonics Inc,
ABPI,Accentia Biopharmaceuticals Inc,OTC
ABPR,Caspian International Oil Corp,OTC
ABR,Arbor Realty Trust Inc,NYSE
ABRI,Servidyne Inc,
ABRK,Sportsquest Inc,
ABRM,Canyon Copper Corp,
ABRX,Able Laboratories Inc,
ABS,Albertsons Inc,NYSE
ABS,New Albertsons Inc,
ABSC,Giant Motorsports Inc,
ABT,Abbott Laboratories,NYSE
ABTL,Autobytel Inc,NASDAQ
ABTO,Ab&t Financial Corp,OTC
ABVA,Alliance Bankshares Corp,
ABVT,Abovenet Inc,NYSE
ABWG,Watley A B Group Inc,OTC
ABWS,Absolute Potential Inc,
ACA,Aca Capital Holdings Inc,NYSE
ACAD,Acadia Pharmaceuticals Inc,NASDAQ
ACAI,Flyi Inc,
ACAP,American Physicians Capital Inc,
ACAR,Activecare Inc,OTC
ACAS,American Capital LTD,NASDAQ
ACAT,Arctic Cat Inc,NASDAQ
ACBA,American Community Bancshares Inc,
ACBP,American Community Bancorp Inc,
ACC,American Campus Communities Inc,NYSE
ACCA,Acacia Diversified Holdings Inc,OTC
ACCL,Accelrys Inc,NASDAQ
ACCM,Hangover Joes Holding Corp,
ACCP,Access Pharmaceuticals Inc,OTC
ACCR,Access Power Inc,OTC
ACCY,Alternative Construction Company Inc,
ACD,Asconi Corp,NYSE MKT
ACDI,Arcadia Resources Inc,NYSE MKT
ACDO,Accredo Health Inc,
ACDQ,Arcade Acquisition Corp,
ACE,Ace LTD,NYSE
ACEC,Ace Comm Corp,
ACEL,Tamir Biotechnology Inc,
ACET,Aceto Corp,NASDAQ
ACF,General Motors Financial Company Inc,
ACFC,Atlantic Coast Federal Corp,NASDAQ
ACFC,Atlantic Coast Financial Corp,NASDAQ
ACFN,Acorn Energy Inc,NASDAQ
ACG,Alliancebernstein Income Fund Inc,NYSE
ACGI,Amacore Group Inc,OTC
ACGL,Arch Capital Group LTD,NASDAQ
ACHC,Acadia Healthcare Company Inc,NASDAQ
ACHI,Americhip International Inc,
ACHN,Achillion Pharmaceuticals Inc,NASDAQ
ACI,Arch Coal Inc,NYSE
ACIE,Acies Corp,OTC
ACIT,Aci Telecentrics Inc,
ACIW,Aci Worldwide Inc,NASDAQ
ACKHQ,Armstrong Holdings Inc,
ACLA,Aclara Biosciences Inc,
ACLI,American Commercial Lines Inc,
ACLO,Usmart Mobile Device Inc,
ACLS,Axcelis Technologies Inc,NASDAQ
ACM,Aecom Technology Corp,NYSE
ACMC,American Church Mortgage Co,OTC
ACME,Acme Communications Inc,OTC
ACMP,Access Midstream Partners LP,NYSE
ACMR,Ac Moore Arts & Crafts Inc,
ACMTA,Acmat Corp,OTC
ACN,Accenture LTD,NYSE
ACN,Accenture PLC,NYSE
ACNB,Acnb Corp,NASDAQ
ACNI,American Idc Corp,OTC
ACO,Amcol International Corp,NYSE
ACOM,Ancestrycom Inc,NASDAQ
ACOR,Acorda Therapeutics Inc,NASDAQ
ACP,Avenue Income Credit Strategies Fund,NYSE
ACPQL,Neenah Foundry Co,
ACPW,Active Power Inc,NASDAQ
ACR,American Retirement Corp,
ACRE,Ares Commercial Real Estate Corp,NYSE
ACRG,Acr Group Inc,NYSE MKT
ACRI,Acro Inc,OTC
ACRO,Acrodyne Communications Inc,
ACRO,Acroboo Inc,
ACRU,Accrue Software Inc,
ACRX,Acelrx Pharmaceuticals Inc,NASDAQ
ACS,Affiliated Computer Services Inc,
ACSF,American Capital Senior Floating LTD,NASDAQ
ACSH,Renew Energy Resources Inc,
ACT,Actavis Inc,NYSE
ACT,Actavis PLC,NYSE
ACTC,Advanced Cell Technology Inc,OTC
ACTC,Advanced Credit Technologies Inc,OTC
ACTG,Acacia Research Corp,NASDAQ
ACTI,Actividentity Corp,
